Path;Full path;SID;Time;Date;%-T;Count;Count/mL;FSC-H Min;FSC-H Max;FSC-H SD;FSC-H rSD;FSC-H Mean;FSC-H Median;SSC-H Min;SSC-H Max;SSC-H SD;SSC-H rSD;SSC-H Mean;SSC-H Median;B3-H Min;B3-H Max;B3-H SD;B3-H rSD;B3-H Mean;B3-H Median
Cell_chl_tot\Meso_chl_+;Meso80_3VP2022-11-17.0001\Cell_chl_tot\Meso_chl_+;Meso80_3;11:59;2022-Nov-17;50,64;871;5905,93;18,81;103,94;11,12;11;50,45;49,54;9,67;71,42;9,01;9,47;30,83;30,05;26,93;134,58;17,72;17,33;72,18;70,36
Cell_chl_tot\Meso_chl_+;Meso80_3VP2022-11-16.0001\Cell_chl_tot\Meso_chl_+;Meso80_3;14:22;2022-Nov-16;31,66;563;3822,34;18,55;99,75;12,5;11,98;52,62;51,09;12,5;68,18;10,13;9,76;32,76;31,42;29,73;120,96;16,78;17,36;67,47;66,81
Cell_chl_tot\Meso_chl_+;Meso80_2VP2022-11-17.0001\Cell_chl_tot\Meso_chl_+;Meso80_2;11:48;2022-Nov-17;63,12;818;5625,24;16,9;105,88;11,98;11,31;51,76;51,11;12,01;78,15;9,17;8,55;30,24;29,36;26,19;124,71;16,98;17,08;72,43;70,04
Cell_chl_tot\Meso_chl_+;Meso80_2VP2022-11-16.0001\Cell_chl_tot\Meso_chl_+;Meso80_2;13:43;2022-Nov-16;27,01;542;3660,11;15,87;101,78;11,42;11,46;53,68;53,61;12,42;74,32;10,36;10,6;34;32,46;30,15;125,35;16,13;15,69;69,2;67,86
Cell_chl_tot\Meso_chl_+;Meso80_1VP2022-11-17.0001\Cell_chl_tot\Meso_chl_+;Meso80_1;11:37;2022-Nov-17;50,68;853;5776,55;14,33;98,03;11,93;11,31;50,98;50,84;10,76;71,67;9,31;9,14;30,85;29,55;24,36;138,9;16,94;17,11;71,54;70,57
Cell_chl_tot\Meso_chl_+;Meso80_1VP2022-11-16.0001\Cell_chl_tot\Meso_chl_+;Meso80_1;13:32;2022-Nov-16;25,08;529;3608,85;23,65;96,95;11,99;11,52;53,75;52,5;12,92;79,37;10,08;9,71;33,29;31,7;28,65;122,9;16,41;16,67;68,47;66,69
Cell_chl_tot\Meso_chl_+;Meso200_3VP2022-11-17.0001\Cell_chl_tot\Meso_chl_+;Meso200_3;12:03;2022-Nov-17;50,51;884;6045,31;18,66;99,72;11,89;11,69;47,96;46,55;11,54;63,77;9,19;9,33;32,12;30,88;22,96;129,51;16,89;16,89;69,26;67,5
Cell_chl_tot\Meso_chl_+;Meso200_3VP2022-11-16.0001\Cell_chl_tot\Meso_chl_+;Meso200_3;14:26;2022-Nov-16;30,11;533;3616,11;15,81;99,63;11,96;11,43;53,05;52,09;12,13;65,66;9,25;9,71;32,33;31,03;29,22;135,6;16,86;15,89;68,61;66,65
Cell_chl_tot\Meso_chl_+;Meso200_2VP2022-11-17.0001\Cell_chl_tot\Meso_chl_+;Meso200_2;11:52;2022-Nov-17;48,21;860;5866,98;13,58;106,42;12,11;11,02;48,57;47,11;10,87;67,2;9,45;9,09;32,91;31,55;29,1;133,73;17,3;17,34;71,08;69,18
Cell_chl_tot\Meso_chl_+;Meso200_2VP2022-11-16.0001\Cell_chl_tot\Meso_chl_+;Meso200_2;13:47;2022-Nov-16;31,29;597;4057,75;20,72;100,79;11,98;11,16;52,51;52,39;11,84;77,62;10,35;10,52;33,32;31,88;28,71;123,67;16,44;16,94;68,36;66
Cell_chl_tot\Meso_chl_+;Meso200_1VP2022-11-17.0001\Cell_chl_tot\Meso_chl_+;Meso200_1;11:41;2022-Nov-17;57,57;833;5728,35;20,05;93,57;11,66;11,41;48,56;47,83;11,11;71,03;9,76;9,92;33,51;32,26;25,15;136,8;16,73;16,78;70,65;69,54
Cell_chl_tot\Meso_chl_+;Meso200_1VP2022-11-16.0001\Cell_chl_tot\Meso_chl_+;Meso200_1;13:36;2022-Nov-16;26,76;520;3566,73;17,03;120,87;12,9;12,4;52,86;52,21;6,96;73,2;10,57;10,38;33,66;32,62;24,36;146,22;16,7;16,22;69,46;68,61
Cell_chl_tot\Meso_chl_+;Meso20_3VP2022-11-17.0001\Cell_chl_tot\Meso_chl_+;Meso20_3;11:55;2022-Nov-17;23,16;340;2335,1;21,08;91,78;11,08;9,97;52,25;51,25;6,25;59,2;9,01;8,62;30,68;29,62;29,61;139,34;17,84;16,92;78,19;77,59
Cell_chl_tot\Meso_chl_+;Meso20_3VP2022-11-16.0001\Cell_chl_tot\Meso_chl_+;Meso20_3;13:51;2022-Nov-16;26,84;553;3741,24;18,18;102,72;12,39;12,13;53,69;52,48;13,17;64,67;9,89;10,47;33,85;32,81;24,71;131,41;17,08;17,09;69,34;68,59
Cell_chl_tot\Meso_chl_+;Meso20_2VP2022-11-17.0001\Cell_chl_tot\Meso_chl_+;Meso20_2;11:44;2022-Nov-17;57,19;728;5027,9;24,74;93,72;11,05;10,86;53,91;53,69;9,02;72,11;8,52;8,62;28,69;27,71;26,15;123,5;18,18;18,95;73,37;72,61
Cell_chl_tot\Meso_chl_+;Meso20_2VP2022-11-16.0001\Cell_chl_tot\Meso_chl_+;Meso20_2;13:40;2022-Nov-16;26,27;554;3759,12;17,12;107,41;12,98;12,29;53,53;52,57;14,75;83,44;10,64;9,65;33,86;32,42;31,97;132,34;16,74;16,61;69,59;68,34
Cell_chl_tot\Meso_chl_+;Meso20_1VP2022-11-17.0001\Cell_chl_tot\Meso_chl_+;Meso20_1;11:34;2022-Nov-17;61,99;760;5135,14;15,6;99,02;12,75;12,2;54,9;53,82;9,75;62,28;8,85;8,69;28,45;27,4;28,49;151,58;18,11;18,29;73,37;72,88
Cell_chl_tot\Meso_chl_+;Meso20_1VP2022-11-16.0001\Cell_chl_tot\Meso_chl_+;Meso20_1;13:29;2022-Nov-16;26,6;587;3947,31;13,71;92,72;12,18;11,96;53,53;53,2;10,47;75,73;10,19;9,81;33,95;32,91;27,48;122,79;17,01;17,33;69,1;67,42
