Path;Full path;SID;Time;Date;%-T;Count;Count/mL;FSC-H Min;FSC-H Max;FSC-H SD;FSC-H rSD;FSC-H Mean;FSC-H Median;SSC-H Min;SSC-H Max;SSC-H SD;SSC-H rSD;SSC-H Mean;SSC-H Median;B2-H Min;B2-H Max;B2-H SD;B2-H rSD;B2-H Mean;B2-H Median;B3-H Min;B3-H Max;B3-H SD;B3-H rSD;B3-H Mean;B3-H Median
Meso_PE;Meso80PR_3VP2022-11-19.0001\Meso_PE;Meso80PR_3;12:22;2022-Nov-19;21,19;743;5005,49;13,66;83,14;15,29;16,55;42,57;43,76;0,44;57,01;12,8;14,94;20,23;22,11;2,49;154,19;19,57;13,98;20,44;12,24;5,55;134,7;29,38;34,34;61,07;67,89
Meso_PE;Meso80PR_2VP2022-11-19.0001\Meso_PE;Meso80PR_2;12:20;2022-Nov-19;24,5;903;6086,75;13,59;91,77;16,79;18,54;41,45;41,87;0,49;60,24;13,2;14,43;17,28;18,22;2,6;162,39;21,15;15,39;22,98;13,19;4,74;134,79;30,7;35,4;54,95;60,68
Meso_PE;Meso80PR_1VP2022-11-19.0001\Meso_PE;Meso80PR_1;12:18;2022-Nov-19;24,6;927;6237,17;13,55;107,71;15,74;17,18;37,43;35,9;0,33;58,07;13,57;14,11;15,34;13,89;3,29;153,65;19,28;16,05;24,59;16,08;5,27;138,94;31,37;34,25;48,86;44,82
Meso_PE;Meso80_3VP2022-11-21.0001\Meso_PE;Meso80_3;12:03;2022-Nov-21;61,95;1669;11352,12;13,55;120,54;16,77;17,99;45,48;46,34;0,43;61,76;12,62;15,2;20,82;22,42;2,52;175,39;17,96;9,76;17,56;11,31;5,09;149,57;30,79;37,47;65,47;71,98
Meso_PE;Meso80_3VP2022-11-19.0001\Meso_PE;Meso80_3;11:39;2022-Nov-19;57,82;1990;13340,84;13,67;93,84;13,78;13,87;45,95;46,48;0,52;68,73;11,72;10,5;24,78;25,58;2,88;160,27;13,13;4,44;14,13;10,36;6,55;136,92;25,4;23,47;67,66;70,91
Meso_PE;Meso80_3VP2022-11-18.0001\Meso_PE;Meso80_3;12:24;2022-Nov-18;58,5;1356;9195,84;13,71;127,71;16,21;16,73;46,93;47,95;0,49;71,69;12,23;13,54;23,47;24,33;2,79;148,81;16,03;4,6;13,52;8,9;3,21;137,65;26,43;28,86;60,76;64,14
Meso_PE;Meso80_2VP2022-11-21.0001\Meso_PE;Meso80_2;12:01;2022-Nov-21;64,58;1891;12800,47;13,69;96,38;16,46;17,58;45,73;46,71;0,37;66,93;12,46;15,07;20,83;21,83;2,37;183,02;17,11;10,83;17,57;11,04;5,9;159,54;29,2;35,71;64,75;70,15
Meso_PE;Meso80_2VP2022-11-19.0001\Meso_PE;Meso80_2;11:35;2022-Nov-19;72,77;2034;13685,45;13,68;101,59;15,24;15,44;46,47;46,94;0,35;70,66;12,87;15,39;23,19;24,53;2,75;127,55;14,28;7,5;15,57;11,03;6,38;137,09;27,61;32,38;63,09;67,27
Meso_PE;Meso80_2VP2022-11-18.0001\Meso_PE;Meso80_2;12:13;2022-Nov-18;76,09;1251;8472,97;13,87;97,66;15,68;16,3;46,86;48,06;0,44;61,19;12,61;14,77;23,64;24,67;2,38;141,45;14,32;4,5;13,07;8,92;4,09;147,83;25,91;27,79;59,64;63,39
Meso_PE;Meso80_1VP2022-11-21.0001\Meso_PE;Meso80_1;11:59;2022-Nov-21;63,23;1649;11228,76;13,6;150,78;17,18;18,03;47,48;48,24;0,47;62,66;12,53;15,18;21,62;22,83;2,48;176,73;16,48;8,31;16,71;11,32;5,16;134,42;29,58;35,81;66,99;72,56
