Path;Full path;SID;Time;Date;%-T;Count;Count/mL;FSC-W Min;FSC-W Max;FSC-W SD;FSC-W rSD;FSC-W Mean;FSC-W Median;SSC-H Min;SSC-H Max;SSC-H SD;SSC-H rSD;SSC-H Mean;SSC-H Median;B2-H Min;B2-H Max;B2-H SD;B2-H rSD;B2-H Mean;B2-H Median;B3-H Min;B3-H Max;B3-H SD;B3-H rSD;B3-H Mean;B3-H Median
Meso_PE;Meso80_3VP2022-11-29.0001\Meso_PE;Meso80_3;10:36;2022-Nov-29;22,66;2814;18788,68;400,37;3139,64;205,21;151,21;940,94;915,48;0,38;83,62;12,94;11,97;26,23;26,7;3,31;159,4;13,75;4,82;16,54;13,2;4,72;159,25;26,68;24,35;72,66;76,43
Meso_PE;Meso80_2VP2022-11-29.0001\Meso_PE;Meso80_2;10:34;2022-Nov-29;37,08;3492;23383,82;506,55;3166,25;200,04;153,54;938,79;916,22;0,45;209,78;13,68;12,8;26,93;27,91;2,46;160,25;14,79;5,38;17,38;13,54;3,15;140,56;26,35;24,91;70;73,59
Meso_PE;Meso80_1VP2022-11-29.0001\Meso_PE;Meso80_1;10:32;2022-Nov-29;25,16;3363;22504,32;251,04;3747,99;210,7;156,56;925,35;898,99;0,39;204,89;14,21;15,43;25,91;27,13;2,7;159,36;14,82;5,49;16,82;12,98;5,02;152,62;26,87;26,3;66,78;70,87
Meso20N_3VP2022-11-29.0001;Meso20N_3VP2022-11-29.0001;Meso20N_3;10:47;2022-Nov-29;100;8036;53610,86;;;;;;;;;;;;;;;;;;;;;;;;
Meso20N_2VP2022-11-29.0001;Meso20N_2VP2022-11-29.0001;Meso20N_2;10:45;2022-Nov-29;100;9218;61521,42;;;;;;;;;;;;;;;;;;;;;;;;
Meso20N_1VP2022-11-29.0001;Meso20N_1VP2022-11-29.0001;Meso20N_1;10:23;2022-Nov-29;100;8024;53493,33;;;;;;;;;;;;;;;;;;;;;;;;
Meso_PE;Meso200_3VP2022-11-29.0001\Meso_PE;Meso200_3;10:43;2022-Nov-29;57,15;3388;22744,67;472,86;3243,21;198,09;140,5;938,02;913,98;0,28;103,44;15,96;14,22;35,37;36,14;2,22;159,8;7,94;2,86;8,82;7,14;3,98;124,58;20,78;18,13;56,79;57,89
Meso_PE;Meso200_2VP2022-11-29.0001\Meso_PE;Meso200_2;10:41;2022-Nov-29;41,16;3274;21884,3;274,82;2922,06;177,08;141,22;926,36;905,99;0,53;94,7;16,55;14,94;34,64;35,65;2,38;135,85;8,61;2,99;9,17;7,14;3,5;124,44;21,5;19,09;55,71;57,37
Meso_PE;Meso200_1VP2022-11-29.0001\Meso_PE;Meso200_1;10:39;2022-Nov-29;53,92;3416;22814,55;370,68;3169,01;187,93;148,94;919,78;896,62;0,4;101,12;16,79;15,66;33,66;34,89;2,33;112,41;8,67;3,12;9,08;6,97;4,29;137,06;22,07;20,08;53,54;55,7
Meso_PE;Meso20_3VP2022-11-29.0001\Meso_PE;Meso20_3;10:30;2022-Nov-29;76;1026;7177,99;538,22;3036,92;194,49;157,49;932,24;903,4;0,65;51,56;9,4;8,76;19,54;20,2;3,21;162,92;19,02;4,75;19,34;14,33;6,67;145,04;26,18;25,31;74,59;78,84
Meso_PE;Meso20_2VP2022-11-29.0001\Meso_PE;Meso20_2;10:28;2022-Nov-29;78,61;1169;8118,06;519,45;3242,05;213,43;168,58;919,19;900,47;0,34;46,51;10,77;12,89;18,22;19,27;2,61;176,42;22,28;10,67;23,86;16,5;5,36;137,8;29,08;33,36;71,67;78,6
Meso_PE;Meso20_1VP2022-11-29.0001\Meso_PE;Meso20_1;10:26;2022-Nov-29;68,81;803;5522,05;506,15;2455,86;171,07;158,5;887,48;867,88;0,24;44,95;10,47;12,57;15,89;16,66;3,94;192,97;22,24;13,02;23,82;15,72;4,9;166,02;31,78;36,95;70,08;77,41
