Path;Full path;SID;Time;Date;%-T;Count;Count/mL;FSC-H Min;FSC-H Max;FSC-H SD;FSC-H rSD;FSC-H Mean;FSC-H Median;SSC-H Min;SSC-H Max;SSC-H SD;SSC-H rSD;SSC-H Mean;SSC-H Median;B2-H Min;B2-H Max;B2-H SD;B2-H rSD;B2-H Mean;B2-H Median;B3-H Min;B3-H Max;B3-H SD;B3-H rSD;B3-H Mean;B3-H Median
Tele_tot\Tele_PE;Tele80PR_3VP2022-11-21.0001\Tele_tot\Tele_PE;Tele80PR_3;11:17;2022-Nov-21;91,38;8277;83011,57;39,20;341,31;50,36;52,07;149,39;147,47;3,78;55,98;6,44;6,34;15,27;14,12;4,19;405,57;13,52;3,27;13,56;12,34;12,56;84,85;7,94;8,33;31,36;30,09
Tele_tot\Tele_PE;Tele80PR_3VP2022-11-19.0001\Tele_tot\Tele_PE;Tele80PR_3;11:02;2022-Nov-19;84,28;27267;272670,01;36,55;361,13;44,94;45,18;151,28;148,49;3,41;53,38;6,02;5,87;14,45;13,36;1,73;536,17;16,89;3,42;15,07;13,53;12,00;137,47;7,87;8,08;32,25;31,22
Tele_tot\Tele_PE;Tele80PR_2VP2022-11-21.0001\Tele_tot\Tele_PE;Tele80PR_2;11:15;2022-Nov-21;92,08;8663;86829,71;38,74;380,77;50,09;51,48;151,76;150,08;3,27;59,15;6,75;6,51;15,79;14,56;4,12;389,59;14,08;3,16;13,38;12,12;15,14;135,79;7,88;8,02;31,34;30,15
Tele_tot\Tele_PE;Tele80PR_2VP2022-11-19.0001\Tele_tot\Tele_PE;Tele80PR_2;10:59;2022-Nov-19;83,05;24381;245239,76;36,73;414,88;44,41;44,57;149,12;146,29;3,46;66,54;6,06;5,83;14,07;12,92;1,59;637,15;28,15;3,29;16,20;13,03;14,68;132,32;8,38;7,88;32,02;30,74
Tele_tot\Tele_PE;Tele80PR_1VP2022-11-21.0001\Tele_tot\Tele_PE;Tele80PR_1;11:13;2022-Nov-21;91,62;8994;89940,01;36,68;334,41;50,52;52,63;149,68;148,22;3,68;67,89;6,60;6,41;15,47;14,37;1,79;520,64;16,76;3,21;13,75;12,16;13,97;112,80;7,85;8,03;31,33;30,24
Tele_tot\Tele_PE;Tele80PR_1VP2022-11-19.0001\Tele_tot\Tele_PE;Tele80PR_1;10:56;2022-Nov-19;85,45;26819;268190,00;36,84;365,18;44,25;44,60;149,22;146,64;3,16;61,98;5,95;5,78;13,97;12,84;1,99;604,98;31,77;3,34;16,84;12,96;13,33;116,83;8,53;7,91;32,07;30,75
Tele_tot\Tele_PE;Tele80_3VP2022-11-21.0001\Tele_tot\Tele_PE;Tele80_3;10:55;2022-Nov-21;95,44;53237;531376,40;36,43;418,42;49,84;52,10;145,51;142,09;3,31;67,41;6,66;6,41;15,20;13,97;1,82;546,85;17,84;2,85;12,10;10,60;11,60;116,04;8,02;8,19;30,97;29,78
Tele_tot\Tele_PE;Tele80_3VP2022-11-19.0001\Tele_tot\Tele_PE;Tele80_3;10:28;2022-Nov-19;94,66;63372;633720,03;36,35;422,84;49,94;51,30;143,32;139,34;3,31;67,45;6,32;6,08;14,30;13,08;1,76;844,95;21,15;3,07;13,77;11,88;11,00;186,54;8,02;7,84;31,67;30,65
Tele_tot\Tele_PE;Tele80_3PL2022-11-22.0001\Tele_tot\Tele_PE;Tele80_3;10:32;2022-Nov-22;93,58;18097;180970,02;37,24;410,81;52,72;54,70;150,81;147,18;3,63;62,58;6,87;6,67;15,63;14,44;2,56;457,47;25,83;3,60;14,14;10,85;11,43;117,77;8,26;7,89;30,12;28,42
Tele_tot\Tele_PE;Tele80_2VP2022-11-21.0001\Tele_tot\Tele_PE;Tele80_2;10:48;2022-Nov-21;89,58;55540;555400,02;36,33;425,89;43,62;44,15;151,47;148,82;3,39;71,43;6,42;6,25;15,10;13,92;2,80;506,02;16,96;2,89;11,94;10,49;12,54;116,06;7,75;7,98;30,82;29,67
Tele_tot\Tele_PE;Tele80_2VP2022-11-19.0001\Tele_tot\Tele_PE;Tele80_2;10:21;2022-Nov-19;87,07;65927;659270,08;37,25;415,42;43,96;44,05;148,69;144,87;3,15;64,13;5,96;5,71;13,87;12,70;1,88;840,02;17,09;3,13;13,74;12,30;12,01;211,19;7,67;7,69;31,15;30,05
Tele_tot\Tele_PE;Tele80_2PL2022-11-22.0001\Tele_tot\Tele_PE;Tele80_2;10:24;2022-Nov-22;88,67;19775;197750,02;37,56;368,75;46,16;46,83;154,12;151,11;3,58;63,77;6,63;6,37;15,24;13,98;2,16;569,31;26,52;3,81;14,80;11,44;8,86;120,99;8,20;7,82;29,87;28,28
Tele_tot\Tele_PE;Tele80_1VP2022-11-21.0001\Tele_tot\Tele_PE;Tele80_1;10:39;2022-Nov-21;90,22;61445;614450,07;37,71;397,02;43,23;43,77;151,39;149,00;3,37;64,30;6,47;6,25;15,07;13,88;2,02;638,56;16,26;3,01;12,40;10,92;8,96;145,34;7,72;7,90;30,66;29,53
Tele_tot\Tele_PE;Tele80_1VP2022-11-19.0001\Tele_tot\Tele_PE;Tele80_1;10:13;2022-Nov-19;87,49;71334;713340,03;37,63;399,85;43,76;43,88;149,09;145,49;3,29;73,03;5,93;5,67;13,79;12,65;1,88;622,14;20,88;3,33;14,85;12,78;10,81;161,18;7,90;7,72;31,26;30,12
