Species;Irradiance;Replicate;Name;Temp;Vs_Pigments;Vs_CHN;Vs_Absorption;Vs_PE;Number_coulter;CV.number;Cell_count;Unit_cell_count;Lower_limit_microm;Upper_limit_microm;Diameter;CV.diameter;Unit_diameter;Biovolume;Unit_biovolume
Tele;20;1;Tele20_1;21;7;10;3;40;49321;0,005;986420;cells_per_mL;2,974;7,975;4,47;0,001;microm;46,76502725;microm3
Tele;20;2;Tele20_2;21;7;10;3;40;52136;0,004;1042720;cells_per_mL;2,974;7,975;4,45;0,001;microm;46,14011315;microm3
Tele;20;3;Tele20_3;21;7;10;3;40;41960;0,008;839200;cells_per_mL;2,974;7,975;4,47;0,001;microm;46,76502725;microm3
Tele;80;1;Tele80_1;21;12;15;6;40;19344;0,005;386880;cells_per_mL;2,974;7,975;4,38;0,0001;microm;43,99678618;microm3
Tele;80;2;Tele80_2;21;12;15;6;40;21394;0,006;427880;cells_per_mL;2,974;7,975;4,35;0,001;microm;43,09892057;microm3
Tele;80;3;Tele80_3;21;12;15;6;40;22437;0,082;448740;cells_per_mL;2,974;7,975;4,33;0,004;microm;42,50718169;microm3
Tele;200;1;Tele200_1;21;12;15;6;40;21454;0,004;429080;cells_per_mL;2,974;7,975;4,54;0,001;microm;48,99662669;microm3
Tele;200;2;Tele200_2;21;12;15;6;40;19,771;0,016;395,42;cells_per_mL;2,974;7,975;4,6;0,001;microm;50,96501042;microm3
Tele;200;3;Tele200_3;21;12;15;6;40;19493;0,004;389860;cells_per_mL;2,974;7,975;4,58;0,001;microm;50,30313549;microm3
Meso;20;1;Meso20_1;21;5;9;4;15;210;0,048;4200;cells_per_mL;13,59;27,13;16;0,01;microm;2144,660585;microm3
Meso;20;2;Meso20_2;21;10;14;4;15;297,7;0,02;5954;cells_per_mL;14,54;27,44;18,9;0,004;microm;3534,956182;microm3
Meso;20;3;Meso20_3;21;10;14;5;15;340;0,079;6800;cells_per_mL;14,38;26,52;19;0,004;microm;3591,364002;microm3
Meso;80;1;Meso80_1;21;12;18;5;40;1064;0,062;21280;cells_per_mL;14,54;26,23;19,4;0,007;microm;3822,995723;microm3
Meso;80;2;Meso80_2;21;12;18;5;40;1030;0,021;20600;cells_per_mL;14,38;26,52;19,5;0,004;microm;3882,419471;microm3
Meso;80;3;Meso80_3;21;12;18;5;40;774,3;0,046;15486;cells_per_mL;15,05;27,75;19,7;0,002;microm;4003,107942;microm3
Meso;200;1;Meso200_1;21;10;17;5;40;1055;0,034;21100;cells_per_mL;14,38;26,83;19,5;0,001;microm;3882,419471;microm3
Meso;200;2;Meso200_2;21;12;18;5;40;1039;0,021;20780;cells_per_mL;14,06;28,72;19,4;0,002;microm;3822,995723;microm3
Meso;200;3;Meso200_3;21;12;18;5;40;1015;0,017;20300;cells_per_mL;14,06;29,04;19,5;0,004;microm;3882,419471;microm3
