Name;Sample;Irradiance;Unit_irrad;Species;Cell_count;Unit_cell_count;Chl.c2;Fuco;Diadino;Allox;Monado;Diato;Croco;Chl.a;Phaeophy;Phaeophor;alpha.car;Unit_conc_pigments
Meso220_1;B7;220;microE;Meso;36220;cell.mL;0,088278498;0;0;0,237634844;0,003324219;0;0,016910156;0,666074092;0,008186356;0,011643696;0,039671183;mg.L
Meso220_2;B8;220;microE;Meso;34740;cell.mL;0,07683457;0;0;0,21073235;0,00393959;0;0,015336263;0,600180312;0,006436768;0,00857785;0,035411882;mg.L
Meso220_3;B9;220;microE;Meso;34760;cell.mL;0,078428213;0;0;0,208632681;0,004335938;0;0,017199219;0,598654397;0,006297197;0,00912614;0,035453648;mg.L
Meso120_1;B10;120;microE;Meso;30440;cell.mL;0,105270554;0;0;0,238188423;0,00421275;0;0,022806958;0,769069408;0,00791158;0;0,041727768;mg.L
Meso120_2;B11;120;microE;Meso;32240;cell.mL;0,108987696;0;0;0,239828153;0,007277259;0;0,025324862;0,77422177;0,007926717;0,015528206;0,042603939;mg.L
Meso120_3;B12;120;microE;Meso;30340;cell.mL;0,106185819;0;0;0,241359421;0,003620159;0;0,025196309;0,773140121;0,007255561;0;0,042387676;mg.L
Meso65_1;C4;65;microE;Meso;24880;cell.mL;0,078958154;0;0;0,159258213;0,003130315;0;0,020868765;0,578467962;0;0;0,027321947;mg.L
Meso65_2;C5;65;microE;Meso;26180;cell.mL;0,092783;0;0;0,187049322;0,003351814;0;0,023899894;0,6789747;0;0;0,031495418;mg.L
Meso65_3;C6;65;microE;Meso;21020;cell.mL;0,077100252;0;0;0,109631942;0,021907465;0;0,013347594;0,214445948;0,417832423;0,014215268;0,006085831;mg.L
Meso20_1a;C7;20;microE;Meso;10794;cell.mL;0,038257702;0;0;0,084696458;0;0;0,011491774;0,311748507;0;0;0,014375506;mg.L
Meso20_2a;C8;20;microE;Meso;11806;cell.mL;0,039527744;0;0;0,091033633;0;0;0,01273553;0,335252725;0;0;0,01708656;mg.L
Meso20_3a;C9;20;microE;Meso;9714;cell.mL;0,030474195;0;0;0,070615193;0;0;0,00982042;0,257837774;0;0;0,012831381;mg.L
