"";"Sample";"Name";"Species";"Irradiance";"Cell_count";"Unit_cell_count";"Unit_conc_pigments";"PE";"Chl.a";"Chl.c2";"Allox"
"1";"A1";"Tele20_1";"Tele";20;790000;"cell.mL";"mg.L";2,8386626749281;0,53461978;0,101009011;0,158408791
"2";"A2";"Tele20_2";"Tele";20;768000;"cell.mL";"mg.L";2,98482000640958;0,544371429;0,10410956;0,166947253
"3";"A3";"Tele20_3";"Tele";20;616000;"cell.mL";"mg.L";2,39639409946514;0,458901099;0,082681319;0,136696703
"4";"A4";"Tele80_1";"Tele";80;590000;"cell.mL";"mg.L";0,830421820298471;0,268528846;0,040312885;0,087519231
"5";"A5";"Tele80_2";"Tele";80;627000;"cell.mL";"mg.L";1,02782924668736;0,313869231;0,047668077;0,103457692
"6";"A6";"Tele80_3";"Tele";80;707000;"cell.mL";"mg.L";1,32773663511329;0,363057692;0,056229038;0,117973077
"7";"A7";"Tele200_1";"Tele";200;619000;"cell.mL";"mg.L";0,549495875391063;0,225530769;0,030104038;0,083012821
"8";"A8";"Tele200_2";"Tele";200;551000;"cell.mL";"mg.L";0,503940319835508;0,240588462;0,032073462;0,094397436
"9";"A9";"Tele200_3";"Tele";200;573000;"cell.mL";"mg.L";0,576070044372545;0,223355769;0,028817885;0,086096154
"10";"B1";"Meso20_1";"Meso";20;5520;"cell.mL";"mg.L";1,09635125720726;0,306775385;0,045626308;0,089824615
"11";"B2";"Meso20_2";"Meso";20;8120;"cell.mL";"mg.L";1,25022775992331;0,256181538;0,040417385;0,077301538
"12";"B3";"Meso20_3";"Meso";20;7180;"cell.mL";"mg.L";1,25225235004676;0,265216154;0,039501;0,076504615
"13";"B4";"Meso80_1";"Meso";80;22500;"cell.mL";"mg.L";1,82315328279847;0,470971154;0,066960385;0,114083333
"14";"B5";"Meso80_2";"Meso";80;23400;"cell.mL";"mg.L";1,9085699874281;0,485359615;0,066478077;0,121957692
"15";"B6";"Meso80_3";"Meso";80;18800;"cell.mL";"mg.L";1,58588478326143;0,4524;0,069170962;0,101987179
"16";"B7";"Meso200_1";"Meso";200;22800;"cell.mL";"mg.L";0,769681117520693;0,329663077;0,038536385;0,096256923
"17";"B8";"Meso200_2";"Meso";200;21900;"cell.mL";"mg.L";0,913940338816989;0,336288462;0,040433462;0,095488462
"18";"B9";"Meso200_3";"Meso";200;22700;"cell.mL";"mg.L";0,955699522150323;0,329596154;0,03762;0,100896154
