Wavel.;A1;A2;A3;A4;A5;A6;A7;A8;A9;B1;B2;B3;B4;B5;B6;B7;B8;B9;C1;C2;C3
400;0,071999997;0,075000003;0,0704;0,061000001;0,062700003;0,061900001;0,059999999;0,058800001;0,059;0,070500001;0,062399998;0,061000001;0,067199998;0,068899997;0,0678;0,062199999;0,064099997;0,070299998;0,0504;0,0495;0,0546
402;0,071400002;0,0744;0,069899999;0,060600001;0,0623;0,061500002;0,059500001;0,058400001;0,058600001;0,069899999;0,061900001;0,060600001;0,066699997;0,068300001;0,067299999;0,061799999;0,0638;0,070100002;0,049899999;0,0491;0,054299999
404;0,071000002;0,073899999;0,069399998;0,060199998;0,061999999;0,061099999;0,0592;0,0581;0,0583;0,069499999;0,0616;0,060199998;0,066399999;0,068099998;0,067000002;0,0616;0,063500002;0,069799997;0,049400002;0,048599999;0,053800002
406;0,070200004;0,072999999;0,068599999;0,059500001;0,061299998;0,060400002;0,058600001;0,057399999;0,057599999;0,068800002;0,060800001;0,0594;0,0656;0,067199998;0,066200003;0,060899999;0,063000001;0,0691;0,048799999;0,048;0,053199999
408;0,069700003;0,072400004;0,068000004;0,058899999;0,060699999;0,059700001;0,0579;0,0568;0,057;0,068099998;0,059999999;0,058699999;0,064900003;0,066399999;0,065399997;0,060400002;0,062399998;0,068599999;0,0482;0,0473;0,0526
410;0,069300003;0,071999997;0,067500003;0,0583;0,060199998;0,0592;0,057399999;0,056299999;0,056400001;0,067599997;0,0594;0,0581;0,064199999;0,065700002;0,0647;0,059799999;0,061799999;0,067900002;0,047499999;0,046700001;0,051899999
412;0,068899997;0,071599998;0,067000002;0,057799999;0,059700001;0,058699999;0,0568;0,0557;0,055799998;0,0669;0,058699999;0,057399999;0,063500002;0,064900003;0,063900001;0,059099998;0,0612;0,067400001;0,0469;0,046100002;0,0513
414;0,068599999;0,0713;0,066699997;0,057300001;0,0592;0,058200002;0,056299999;0,055199999;0,055300001;0,066299997;0,058200002;0,0568;0,062799998;0,064300001;0,063299999;0,058600001;0,060699999;0,067000002;0,046500001;0,045600001;0,050900001
416;0,067599997;0,070100002;0,065700002;0,056400001;0,0583;0,0572;0,055300001;0,054299999;0,054400001;0,065300003;0,057100002;0,0557;0,061500002;0,062899999;0,061999999;0,057500001;0,059500001;0,066;0,0458;0,0451;0,050099999
418;0,066200003;0,068700001;0,064400002;0,055599999;0,057300001;0,0561;0,054499999;0,0535;0,0535;0,064300001;0,056200001;0,0548;0,0603;0,061700001;0,060800001;0,056499999;0,058499999;0,065099999;0,045200001;0,044500001;0,049699999
420;0,064499997;0,0669;0,062899999;0,054699998;0,056499999;0,055;0,053800002;0,052700002;0,052700002;0,063500002;0,055300001;0,0539;0,0592;0,0605;0,059599999;0,0557;0,057599999;0,064099997;0,0449;0,044100001;0,0493
422;0,063299999;0,0656;0,061799999;0,054099999;0,055799998;0,054200001;0,053199999;0,052099999;0,052000001;0,063000001;0,054699998;0,053300001;0,0583;0,059700001;0,058899999;0,055;0,0568;0,063299999;0,044500001;0,043699998;0,048900001
424;0,061299998;0,063600004;0,0601;0,053199999;0,0548;0,053100001;0,052499998;0,0513;0,051199999;0,0623;0,053800002;0,0524;0,057100002;0,058499999;0,057700001;0,054099999;0,055799998;0,061999999;0,044199999;0,043400001;0,048500001
426;0,059999999;0,062199999;0,059;0,052499998;0,054099999;0,052200001;0,051899999;0,050700001;0,0506;0,061700001;0,052900001;0,051600002;0,056000002;0,057300001;0,0568;0,053199999;0,0548;0,060899999;0,0438;0,0429;0,048
428;0,058600001;0,060800001;0,057700001;0,0517;0,053399999;0,0513;0,051199999;0,050000001;0,049899999;0,0612;0,052299999;0,050900001;0,055300001;0,056499999;0,0559;0,0526;0,054099999;0,0601;0,043499999;0,0425;0,047600001
430;0,057300001;0,0594;0,056499999;0,050999999;0,0526;0,050500002;0,0506;0,049400002;0,0493;0,060600001;0,0515;0,050099999;0,054299999;0,055500001;0,054900002;0,051800001;0,053199999;0,059099998;0,043099999;0,042199999;0,047200002
432;0,056400001;0,058499999;0,0557;0,0506;0,052099999;0,049899999;0,0502;0,048900001;0,048799999;0,059999999;0,050900001;0,0495;0,053599998;0,054699998;0,054200001;0,051100001;0,052499998;0,058499999;0,042800002;0,041900001;0,0469
434;0,054699998;0,056699999;0,054099999;0,0495;0,051100001;0,048700001;0,0493;0,048;0,047800001;0,058899999;0,049800001;0,0484;0,052200001;0,053300001;0,0528;0,050000001;0,051100001;0,057300001;0,042199999;0,0414;0,046399999
436;0,054099999;0,0561;0,053599998;0,0491;0,050700001;0,0482;0,048900001;0,047600001;0,047400001;0,058499999;0,0493;0,047899999;0,051600002;0,052700002;0,052200001;0,0495;0,0506;0,056699999;0,041900001;0,041099999;0,046100002
438;0,053399999;0,055399999;0,052999999;0,048700001;0,0502;0,047699999;0,0484;0,0471;0,046999998;0,057799999;0,048700001;0,047400001;0,050999999;0,052000001;0,051399998;0,048900001;0,049899999;0,0561;0,041499998;0,0407;0,045699999
