Wavel.;Blank02_01;Blank02_02;Blank03_01;Blank03_02;Blank04_01;Blank04_02;Blank05_01;Blank05_02;Blank06_01;Blank06_02;Blank01_01;Blank01_02;MES20_R1_01;MES20_R1_02;MES20_R2_01;MES20_R2_02;MES20_R3_01;MES20_R3_02;MES65_R1_01;MES65_R1_02;MES65_R2_01;MES65_R2_02;MES65_R3_01;MES65_R3_02;MES120_R1_01;MES120_R1_02;MES120_R2_01;MES120_R2_02;MES120_R3_01;MES120_R3_02;MES220_R1_01;MES220_R1_02;MES220_R2_01;MES220_R2_02;MES220_R3_01;MES220_R3_02
850.000000; 0.003640; -0.000390; 0.003305; -0.002169; 0.002918; 0.003292; 0.001817; 0.001778; 0.001121; 0.004101; 0.000757; 0.003250; 0.002550; 0.001461; 0.004939; 0.002313; 0.000823; 0.000255; 0.002488; 0.001131; 0.003483; 0.002938; 0.002531; 0.001083; 0.007044; 0.003834; 0.003050; 0.002303; 0.001896; 0.003413; 0.003588; 0.003815; 0.003870; 0.006825; 0.004458; 0.006775
849.000000; 0.000731; -0.000187; 0.001138; 0.000356; -0.001242; -0.000580; 0.002787; -0.000390; 0.001543; 0.001738; -0.001086; 0.001507; 0.002968; 0.002269; 0.003894; 0.001971; 0.000465; 0.001387; 0.001282; -0.001810; 0.001382; 0.002093; 0.002556; 0.001433; 0.003098; 0.003380; 0.003391; -0.001581; 0.003249; 0.001494; 0.002224; 0.002929; 0.002186; 0.001948; 0.004118; 0.002318
848.000000; -0.004187; 0.000481; -0.004101; -0.001429; -0.002940; -0.001532; -0.002469; -0.000375; -0.002422; -0.003771; -0.003207; -0.003757; 0.000018; 0.000327; -0.000337; 0.000339; -0.001399; 0.000904; -0.001670; -0.002115; -0.000927; 0.001218; -0.003494; -0.003474; -0.000639; -0.003007; -0.001301; -0.001204; -0.000559; -0.000662; -0.000090; -0.000899; 0.002020; -0.000932; -0.000976; 0.001147
847.000000; -0.002660; -0.001015; -0.001129; -0.001146; -0.003024; 0.000307; -0.000601; -0.000945; 0.000079; 0.000868; -0.003023; -0.002204; 0.002263; 0.001096; -0.000137; 0.001711; 0.001068; 0.002270; 0.001042; -0.002374; -0.000359; -0.001297; -0.000654; -0.002133; -0.000152; -0.001254; 0.000058; 0.000510; -0.000138; 0.000036; -0.000396; 0.002799; -0.000119; 0.004334; 0.002018; 0.000637
846.000000; -0.001786; -0.002616; -0.000170; 0.000403; -0.000397; -0.000494; -0.000187; 0.000995; -0.001957; -0.000191; -0.003226; -0.000919; 0.000122; 0.001127; -0.002275; -0.000318; -0.001636; 0.000532; -0.001212; 0.000681; 0.000095; 0.000070; 0.002241; -0.001494; 0.000783; -0.001162; -0.000796; 0.001614; -0.000563; -0.000801; 0.000051; 0.003523; 0.002097; 0.003191; 0.000310; -0.001769
845.000000; -0.002188; -0.001297; 0.001419; 0.000545; -0.000289; -0.001059; 0.001093; 0.001210; -0.001001; 0.000850; -0.002633; -0.003318; 0.001273; 0.001277; 0.002508; 0.000855; 0.000815; -0.001437; 0.000113; -0.004479; -0.001535; -0.000140; -0.001860; 0.000298; -0.000025; -0.001015; 0.000602; 0.000803; -0.000998; 0.003008; 0.000646; 0.000695; 0.000009; 0.000997; 0.002256; 0.000452
844.000000; -0.001280; -0.001868; -0.001153; 0.000930; 0.001340; 0.001917; -0.000056; 0.000799; 0.000243; 0.000138; -0.001383; -0.001019; -0.001425; 0.001415; 0.002389; 0.000640; -0.001584; -0.000689; -0.000025; -0.000062; 0.000193; 0.001307; 0.001910; 0.000736; 0.000607; 0.002690; -0.000375; 0.001099; 0.001603; 0.001933; 0.000926; 0.002015; 0.000877; 0.002028; 0.002936; 0.001789
843.000000; -0.002420; -0.000974; -0.000203; -0.000753; 0.000370; 0.000365; -0.000314; -0.000393; -0.000091; 0.000435; -0.000727; -0.001210; -0.001096; 0.001787; 0.000464; 0.000144; 0.000842; -0.000480; -0.000772; -0.002363; -0.000599; -0.000318; -0.002385; -0.000560; -0.000815; 0.000193; 0.000205; -0.000717; -0.001946; -0.002410; 0.001885; 0.001172; 0.000464; 0.001941; 0.001002; 0.000913
842.000000; -0.000500; -0.000611; -0.001313; 0.000617; -0.001123; 0.002102; -0.001825; 0.002227; 0.000732; 0.001407; -0.002693; -0.001171; -0.000363; 0.000994; 0.002467; -0.000963; 0.001610; 0.000678; 0.000641; 0.001057; -0.000824; 0.002689; -0.000436; -0.002002; 0.000078; 0.001394; 0.001079; 0.000174; 0.001393; 0.001430; 0.002112; 0.002472; 0.002301; 0.001586; 0.003085; 0.002345
841.000000; -0.001351; -0.000476; 0.001133; 0.001059; 0.002114; 0.000754; -0.000632; 0.000374; -0.000209; -0.000346; 0.000303; -0.000061; -0.001269; 0.001957; 0.000092; -0.000109; 0.000485; 0.002417; 0.002016; 0.001961; 0.000449; -0.000194; 0.000982; -0.000847; 0.002242; -0.001441; 0.001533; 0.000265; 0.000108; 0.000416; 0.002230; 0.001663; 0.001753; 0.000128; 0.002282; 0.003734
