nm; Autozero; Air;Blank00;Blank01;Blank02;Blank03; Blank04;Blank05;Blank06;MES20_R1_01;MES20_R1_02;MES20_R2_01;MES20_R3_01;MES80_R1_01;MES80_R2_01;MES80_R3_01;MES200_R1_01;MES200_R2_01;MES200_R3_01;TEL20_R1_01;TEL20_R2_01;TEL20_R2_02_H2O; TEL20_R3_01; TEL20_R3_02;TEL80_R1_01; TEL80_R2_01;TEL80_R3_01; TEL200_R1_01;TEL200_R2_01;TEL200_R3_01;TEL200_R3_02
850.000000; -0.076433; 0.002756; 0.005484; 0.001657; 0.003165; 0.004583; 0.000209; 0.002338; 0.002434; -0.001117; -0.002793; 0.000896; 0.000940; 0.001178; 0.001694; 0.000363; 0.000830; -0.000106; 0.001816; -0.000619; -0.003599; -0.000498; -0.003575; -0.000050; 0.001827; -0.000434; 0.001516; -0.002661; 0.000588; -0.000250; 0.000854
849.000000; -0.073843; -0.000641; -0.002940; 0.003313; -0.000474; 0.000302; 0.001975; -0.002890; -0.001666; -0.005460; -0.002830; 0.000078; -0.003162; -0.005275; 0.000079; 0.001343; -0.001605; 0.000080; -0.004285; -0.003061; -0.003324; -0.003492; -0.003421; -0.006457; -0.004260; -0.001032; -0.002729; -0.004639; -0.004041; -0.002190; -0.000381
848.000000; -0.075824; -0.000473; -0.001265; 0.000838; -0.000704; -0.000939; 0.002674; -0.000733; 0.001237; 0.002274; -0.002216; -0.002794; -0.002263; -0.001286; -0.003120; 0.000469; 0.002334; 0.001036; -0.000039; 0.001113; -0.004594; -0.000851; -0.002280; 0.000212; -0.001252; 0.000100; 0.002634; 0.000292; -0.002258; 0.000558; 0.000722
847.000000; -0.079201; 0.004711; 0.002479; 0.002488; 0.006403; 0.005191; 0.003668; 0.004112; 0.005586; -0.001476; -0.000627; 0.004505; 0.001627; 0.005171; 0.004846; 0.007862; 0.002292; -0.000185; 0.000845; -0.000258; 0.000381; 0.003313; -0.001553; 0.001585; 0.001318; 0.001003; 0.002174; 0.000107; 0.003221; 0.008845; 0.001124
846.000000; -0.075300; 0.000852; -0.000022; 0.000674; -0.002502; -0.001612; 0.004133; 0.001559; -0.000799; -0.000977; -0.002479; -0.000133; -0.000614; -0.003576; -0.003368; -0.004228; 0.000963; -0.000197; 0.001183; -0.003369; -0.002210; 0.000112; -0.003319; -0.002712; -0.001675; 0.000040; -0.002245; -0.002279; -0.003128; -0.000314; -0.000142
845.000000; -0.075500; -0.001477; 0.005146; 0.000450; -0.000589; 0.002519; 0.001119; -0.003785; -0.000405; -0.003098; -0.004486; -0.005875; -0.000993; -0.001467; -0.003510; -0.002060; -0.000290; -0.000880; -0.000928; -0.004812; -0.002061; -0.002961; -0.004683; -0.003589; -0.002847; -0.002231; 0.000412; -0.003486; -0.000603; -0.001428; -0.002509
844.000000; -0.074380; -0.002169; -0.000976; -0.001230; -0.002362; -0.000654; -0.002585; -0.000363; -0.004321; -0.005768; -0.002086; -0.001826; -0.001556; -0.003247; -0.001168; -0.001903; 0.000003; -0.001833; -0.001650; -0.005031; -0.003702; -0.003914; -0.003788; -0.003292; -0.006053; -0.002351; -0.005340; -0.003597; -0.002621; -0.003165; -0.003357
843.000000; -0.071976; -0.003118; -0.004489; -0.003294; -0.006936; -0.004743; -0.002878; -0.004422; -0.003972; -0.004936; -0.006695; -0.005746; -0.007104; -0.003542; -0.007298; -0.004101; -0.007981; -0.005671; -0.004655; -0.002555; -0.004791; -0.004874; -0.008614; -0.004466; -0.006183; -0.006749; -0.005851; -0.007624; -0.007650; -0.006585; -0.007280
842.000000; -0.076536; 0.001992; 0.000044; -0.004209; 0.004387; 0.001576; 0.001561; -0.002267; 0.000422; -0.001999; -0.002472; -0.001317; -0.000773; -0.000113; -0.000137; 0.002609; 0.000193; -0.000773; -0.003486; -0.000788; -0.003413; -0.002666; -0.005703; -0.004633; -0.001718; -0.000518; -0.003187; -0.001014; 0.000536; -0.001012; -0.002678
841.000000; -0.076841; -0.001996; -0.001554; 0.002596; 0.001267; -0.000671; 0.000600; 0.000647; -0.000510; -0.001061; -0.002386; -0.000488; -0.004071; -0.002142; -0.001086; -0.001029; 0.002438; 0.000926; -0.001273; -0.002234; -0.001444; -0.002169; -0.000649; -0.003753; -0.001358; -0.000535; -0.003399; -0.001158; -0.000927; 0.000446; 0.000314
840.000000; -0.077238; 0.002925; 0.000791; -0.000700; 0.001168; 0.000290; 0.001898; -0.002199; 0.000732; -0.000257; -0.002501; -0.001708; -0.003520; -0.000193; -0.001718; -0.000172; -0.001270; -0.002620; -0.000620; 0.001606; -0.001361; -0.002353; -0.002821; -0.002137; -0.001134; -0.004741; -0.003349; -0.003151; -0.000444; -0.000757; -0.002727
839.000000; -0.072721; -0.005078; -0.005900; -0.002943; -0.002834; -0.004886; -0.002691; -0.003342; -0.006009; -0.004839; -0.006674; -0.004732; -0.006985; -0.004940; -0.006677; -0.006735; -0.004238; -0.008320; -0.006029; -0.005519; -0.007717; -0.007007; -0.005166; -0.006775; -0.007325; -0.006015; -0.009230; -0.007217; -0.007591; -0.002322; -0.004834
838.000000; -0.074974; 0.000204; -0.002084; -0.003152; -0.002052; -0.002360; -0.001369; -0.001787; -0.001676; -0.004829; -0.006975; -0.004842; -0.006082; -0.002404; -0.003185; 0.000718; -0.004785; -0.003298; -0.001939; -0.002735; -0.004451; -0.002604; -0.006667; -0.004837; -0.003541; -0.005675; -0.003084; -0.006409; -0.003064; -0.003768; -0.004345
837.000000; -0.076940; 0.002339; 0.000117; -0.002768; -0.001595; 0.000786; 0.000150; -0.002878; 0.000614; -0.003549; -0.004542; -0.000713; -0.001518; -0.000204; -0.004027; 0.000374; -0.003886; -0.003370; -0.002169; -0.004111; -0.003468; -0.004510; -0.003877; -0.005256; -0.003367; -0.001209; -0.002200; -0.001422; -0.001585; -0.000307; -0.003478
836.000000; -0.075562; -0.002191; -0.005327; -0.002440; -0.002700; -0.001675; 0.000270; -0.002272; -0.004901; -0.003981; -0.003882; -0.002098; -0.007051; -0.002924; -0.004783; -0.003166; -0.002277; -0.002511; -0.001760; -0.006406; -0.005757; -0.005044; -0.003435; -0.006447; -0.005190; -0.004549; -0.006219; -0.004813; -0.004323; -0.005046; -0.003332
835.000000; -0.077229; 0.001028; 0.000986; -0.001280; -0.001328; 0.001627; -0.001057; -0.004044; 0.000868; -0.002994; -0.004882; -0.001363; -0.001785; -0.001383; -0.002746; 0.000482; -0.002868; -0.003793; 0.000604; -0.006176; -0.004943; -0.002459; -0.003834; -0.003882; -0.002479; -0.005635; -0.002896; -0.002877; -0.000014; -0.001702; -0.004546
834.000000; -0.076965; -0.001349; -0.001718; -0.000786; 0.000758; -0.000256; 0.000499; -0.001926; -0.003626; -0.005367; -0.005402; 0.000348; -0.003286; -0.003552; 0.000251; -0.003026; 0.000597; -0.000635; -0.002396; -0.001781; -0.002930; -0.003989; -0.002453; -0.005076; -0.004243; -0.003630; -0.004013; -0.003714; -0.005173; -0.001085; -0.000984
833.000000; -0.078478; 0.000752; -0.001661; 0.001435; -0.001646; 0.000415; 0.002311; -0.001505; 0.000588; -0.001366; -0.006072; -0.000828; -0.002440; -0.001558; -0.001947; 0.001676; -0.001537; -0.002123; 0.000757; -0.000476; -0.001420; 0.000102; -0.002349; -0.002242; -0.001939; -0.001992; -0.000966; -0.001477; -0.001151; -0.002429; -0.000020
832.000000; -0.078264; 0.001842; 0.000456; 0.000251; 0.000962; -0.000485; 0.001240; -0.000624; 0.002221; -0.000180; -0.001992; -0.001669; -0.001670; 0.000846; -0.001842; -0.000818; 0.001291; -0.003955; -0.001248; -0.003395; -0.005188; -0.002708; -0.003035; -0.003770; -0.002220; -0.000548; 0.000826; -0.002460; -0.003443; -0.000849; -0.001574
