B7;B8;B9;B10;B11;B12;C4;C5;C6;C7;C8;C9;F7;F8;F9;Wavel.
0,070799999;0,0691;0,073100001;0,064199999;0,061099999;0,057999998;0,081200004;0,078599997;0,0713;0,072499998;0,069799997;0,068700001;0,076499999;0,070299998;0,063500002;400
0,070500001;0,068700001;0,072700001;0,0638;0,060800001;0,057799999;0,080499999;0,078299999;0,070900001;0,071999997;0,069399998;0,068300001;0,075999998;0,069799997;0,063100003;402
0,0704;0,068599999;0,0726;0,063500002;0,060600001;0,057700001;0,080200002;0,078000002;0,070600003;0,071699999;0,069200002;0,068000004;0,075599998;0,069399998;0,062799998;404
0,069799997;0,068099998;0,072099999;0,062899999;0,0601;0,0572;0,079400003;0,077399999;0,07;0,071000002;0,068599999;0,067400001;0,0748;0,068700001;0,062199999;406
0,069300003;0,067599997;0,071599998;0,062399998;0,059599999;0,0568;0,0788;0,076899998;0,069499999;0,0704;0,068000004;0,0669;0,074199997;0,068000004;0,061700001;408
0,068700001;0,0669;0,071099997;0,061799999;0,059;0,056299999;0,078100003;0,076099999;0,068800002;0,069700003;0,067400001;0,066299997;0,073399998;0,067299999;0,061099999;410
0,068099998;0,066299997;0,070500001;0,061299998;0,058499999;0,0557;0,077399999;0,075599998;0,068300001;0,0691;0,066799998;0,065700002;0,072800003;0,066600002;0,0605;412
0,067900002;0,066100001;0,070100002;0,061000001;0,058200002;0,055399999;0,077100001;0,075400002;0,068000004;0,068800002;0,066600002;0,065499999;0,0726;0,066399999;0,0603;414
0,066799998;0,064999998;0,0691;0,059999999;0,057300001;0,054499999;0,075999998;0,0744;0,067000002;0,067900002;0,065700002;0,064599998;0,071800001;0,065700002;0,059500001;416
0,066100001;0,064300001;0,0682;0,0594;0,056600001;0,0539;0,075199999;0,073899999;0,066299997;0,067299999;0,065099999;0,064099997;0,071400002;0,065300003;0,059099998;418
0,065200001;0,0634;0,067400001;0,058699999;0,0559;0,053100001;0,0744;0,072899997;0,065499999;0,066699997;0,064300001;0,0634;0,070799999;0,064800002;0,058600001;420
0,064800002;0,063000001;0,0669;0,0583;0,055399999;0,052700002;0,073700003;0,0722;0,064900003;0,066200003;0,0638;0,062899999;0,070299998;0,064400002;0,058200002;422
0,064099997;0,062199999;0,066299997;0,057700001;0,0548;0,052099999;0,073200002;0,071500003;0,064400002;0,065800004;0,0634;0,0625;0,07;0,064099997;0,0579;424
0,063299999;0,0614;0,0656;0,057;0,054000001;0,051399998;0,072499998;0,070600003;0,063600004;0,065300003;0,062899999;0,061999999;0,069600001;0,063699998;0,057500001;426
0,062899999;0,061000001;0,065200001;0,056600001;0,053599998;0,050999999;0,072099999;0,070200004;0,063299999;0,064999998;0,0625;0,061700001;0,069300003;0,063500002;0,057300001;428
0,061999999;0,0601;0,064400002;0,0559;0,052900001;0,050299998;0,071199998;0,069300003;0,0625;0,064300001;0,061900001;0,061099999;0,068700001;0,063000001;0,0568;430
0,0616;0,059599999;0,063900001;0,055500001;0,052499998;0,050000001;0,070600003;0,068899997;0,061999999;0,063900001;0,061500002;0,060699999;0,068400003;0,062700003;0,056499999;432
0,060699999;0,058699999;0,062899999;0,054699998;0,0517;0,0493;0,069600001;0,068099998;0,061299998;0,063199997;0,060800001;0,059999999;0,068099998;0,062199999;0,056000002;434
0,0603;0,0583;0,0625;0,054400001;0,0513;0,048999999;0,0691;0,0678;0,060899999;0,062899999;0,0605;0,059700001;0,0678;0,061999999;0,055799998;436
0,059900001;0,057799999;0,061900001;0,054000001;0,050900001;0,048599999;0,068499997;0,067400001;0,060400002;0,0623;0,059999999;0,059300002;0,067400001;0,061700001;0,055500001;438
0,059799999;0,057700001;0,061900001;0,054000001;0,050900001;0,048599999;0,068499997;0,067299999;0,060400002;0,0623;0,059999999;0,059300002;0,067500003;0,061700001;0,055599999;440
0,0594;0,057399999;0,061500002;0,0537;0,050500002;0,048300002;0,068000004;0,067000002;0,059999999;0,061900001;0,059599999;0,058899999;0,067100003;0,0614;0,055300001;442
