nm;Autozero; Air;Blank01;Blank02;Blank03;Blank04;Blank05;Blank06;Blank07;Blank08;Blank09;Blank10; Blank11;CDOM_TEL20_01;CDOM_TEL20_02;CDOM_TEL80_01;CDOM_TEL80_02;CDOM_TEL80_03;CDOM_TEL200_02; TEL20_R1_01;TEL20_R1_02;TEL20_R2_01; TEL20_R3_01;TEL20_R3_02;TEL80_R1_01;TEL80_R1_02;TEL80_R2_01;TEL80_R2_02;TEL80_R3_01;TEL80_R3_02;TEL200_R1_01;TEL200_R2_01;TEL200_R3_01
850.000000; -0.072959; -0.004941; 0.048660; 0.049077; 0.048253; 0.052360; 0.050408; 0.049666; 0.048721; 0.051199; 0.051547; 0.053714; 0.050730; 0.053313; 0.051078; 0.052878; 0.051865; 0.054372; 0.053577; 0.052522; 0.051026; 0.048890; 0.046880; 0.054008; 0.049978; 0.052013; 0.051731; 0.050086; 0.051292; 0.046762; 0.050716; 0.051832; 0.050485
849.000000; -0.077266; 0.002180; 0.054338; 0.053905; 0.054963; 0.054094; 0.055619; 0.057720; 0.054350; 0.054608; 0.056885; 0.057487; 0.056123; 0.056084; 0.051986; 0.057512; 0.054881; 0.053935; 0.057132; 0.056424; 0.058862; 0.057868; 0.055273; 0.057403; 0.055209; 0.058628; 0.055469; 0.053843; 0.057452; 0.050192; 0.057427; 0.055816; 0.056323
848.000000; -0.074288; -0.001390; 0.049818; 0.050321; 0.047567; 0.050783; 0.052774; 0.051715; 0.053566; 0.053145; 0.048572; 0.053689; 0.051781; 0.050063; 0.054473; 0.049992; 0.053270; 0.051733; 0.053071; 0.051324; 0.051210; 0.052687; 0.050993; 0.049910; 0.051077; 0.053721; 0.052025; 0.055244; 0.049966; 0.052094; 0.051405; 0.053454; 0.055721
847.000000; -0.076155; -0.001093; 0.054475; 0.050727; 0.052965; 0.049410; 0.052223; 0.054234; 0.051099; 0.057135; 0.052668; 0.052075; 0.055000; 0.053014; 0.052938; 0.053183; 0.052697; 0.055980; 0.055292; 0.054232; 0.055072; 0.056402; 0.053246; 0.055254; 0.057505; 0.052989; 0.054258; 0.056639; 0.052083; 0.051776; 0.055383; 0.052997; 0.053320
846.000000; -0.075444; -0.000814; 0.048794; 0.048571; 0.050857; 0.054982; 0.052899; 0.053132; 0.054279; 0.052833; 0.051860; 0.052751; 0.054749; 0.050427; 0.053306; 0.051555; 0.056086; 0.051751; 0.052062; 0.052360; 0.053953; 0.054858; 0.051847; 0.051937; 0.052127; 0.055067; 0.053749; 0.051857; 0.052140; 0.052408; 0.051769; 0.053548; 0.053291
845.000000; -0.076828; -0.001138; 0.053245; 0.054548; 0.054602; 0.052735; 0.051914; 0.052859; 0.053380; 0.052007; 0.051701; 0.055070; 0.054889; 0.051143; 0.055117; 0.052692; 0.051273; 0.052018; 0.052215; 0.054958; 0.052230; 0.054171; 0.053367; 0.053973; 0.053151; 0.052418; 0.050681; 0.051574; 0.051922; 0.055342; 0.055674; 0.053746; 0.052808
844.000000; -0.078835; 0.001178; 0.056750; 0.052347; 0.055756; 0.053087; 0.055490; 0.052876; 0.056538; 0.056415; 0.054060; 0.054554; 0.054442; 0.054039; 0.054168; 0.052935; 0.053454; 0.056302; 0.053631; 0.055530; 0.054375; 0.055175; 0.056955; 0.055927; 0.055498; 0.055039; 0.054830; 0.054382; 0.056914; 0.053865; 0.054980; 0.054667; 0.054012
843.000000; -0.076183; 0.000271; 0.049552; 0.049895; 0.049639; 0.051398; 0.050344; 0.052152; 0.050077; 0.051937; 0.049727; 0.050901; 0.053845; 0.050367; 0.053956; 0.051171; 0.051558; 0.050186; 0.053031; 0.053258; 0.050054; 0.053579; 0.052179; 0.050095; 0.055124; 0.048210; 0.051898; 0.051785; 0.050971; 0.051518; 0.050397; 0.053507; 0.052375
842.000000; -0.078025; -0.001662; 0.050986; 0.053589; 0.052046; 0.054231; 0.051279; 0.051648; 0.051604; 0.055611; 0.054662; 0.054680; 0.055730; 0.053801; 0.054539; 0.053754; 0.052163; 0.057732; 0.056030; 0.054958; 0.052296; 0.055957; 0.051909; 0.054394; 0.053066; 0.051422; 0.055771; 0.053660; 0.050675; 0.052101; 0.054780; 0.052705; 0.054860
841.000000; -0.077839; 0.000750; 0.050604; 0.050206; 0.051031; 0.052278; 0.052921; 0.052702; 0.054197; 0.052778; 0.052647; 0.054414; 0.056020; 0.052554; 0.055749; 0.052571; 0.055557; 0.054486; 0.052730; 0.054630; 0.051453; 0.054157; 0.052016; 0.049106; 0.053348; 0.053971; 0.053776; 0.050723; 0.056999; 0.052575; 0.051766; 0.052955; 0.056804
