Irradiance;Abs_Cuvette;Abs_Filter;Wavel.
200;0,255404562;2,565888687;700
200;0,365928647;2,977714802;699
200;0,452045329;3,435010678;698
200;0,578457251;4,005749499;697
200;0,701415295;4,671026598;696
200;1,006968337;5,374008505;695
200;1,283969323;6,193748395;694
200;1,379066088;7,156408179;693
200;1,441005627;8,207468942;692
200;1,736197036;9,370330065;691
200;1,988099845;10,70052588;690
200;1,958396497;12,02643604;689
200;2,001685097;13,43607327;688
200;2,291350302;14,90632192;687
200;2,515852348;16,30934401;686
200;2,7580843;17,59465244;685
200;2,866305799;18,78085321;684
200;2,954034291;19,8151596;683
200;3,110149561;20,68057831;682
200;3,104393098;21,38920474;681
200;3,199720121;21,87548479;680
200;3,306790328;22,28595203;679
200;3,255903197;22,55308128;678
200;3,30794162;22,66942115;677
200;3,226430108;22,68386097;676
200;3,056959845;22,60730154;675
200;3,202022706;22,50525217;674
200;3,246002081;22,27705221;673
200;3,221364421;21,96040647;672
200;3,097255084;21,56536459;671
200;2,953804033;21,05414711;670
200;2,976139108;20,48370694;669
200;2,895778888;19,87308315;668
200;2,811964791;19,16827946;667
200;2,73183483;18,35361666;666
200;2,54947009;17,49411126;665
200;2,447926088;16,56149586;664
200;2,377927501;15,5902349;663
200;2,193029918;14,64748027;662
200;2,017342676;13,66812584;661
200;1,866523352;12,67661628;660
200;1,680013959;11,80733003;659
200;1,466564321;10,98081074;658
200;1,470478716;10,22665482;657
200;1,535872133;9,543398874;656
200;1,392881598;8,940674428;655
200;1,183116096;8,525115163;654
200;1,029303412;8,152935095;653
200;1,142820857;7,850296135;652
200;1,145814218;7,681751903;651
200;1,086177264;7,555690912;650
200;1,055783141;7,496692218;649
200;1,05739495;7,532410992;648
200;1,053710814;7,590722787;647
200;1,018020745;7,651797112;646
200;1,070519685;7,748425952;645
200;1,151570681;7,842023476;644
200;1,216964097;7,951374889;643
200;1,298475609;8,080347737;642
200;1,197392124;8,180769457;641
200;1,209595825;8,236527777;640
200;1,272456398;8,302738916;639
200;1,257950112;8,337830521;638
200;1,286271908;8,391319086;637
200;1,301699229;8,40059223;636
200;1,304232072;8,403548884;635
200;1,202227553;8,378088805;634
200;1,253805459;8,344833909;633
200;1,293179664;8,336919633;632
200;1,251272615;8,294749976;631
200;1,293870439;8,2556863;630
200;1,158708694;8,189699151;629
200;1,216043063;8,098475911;628
200;1,213740478;8,043673277;627
200;1,126472503;7,973415404;626
200;1,131768449;7,863929597;625
200;1,115420095;7,82135676;624
200;1,129005347;7,748291559;623
200;1,049105644;7,659218613;622
200;1,159169211;7,513237537;621
200;1,151570681;7,458897813;620
200;1,006047303;7,358431295;619
200;0,983712227;7,236626095;618
200;0,986014812;7,166398087;617
200;0,955850948;7,062616532;616
200;0,920851654;6,929283366;615
200;0,951936553;6,790499802;614
200;0,944338022;6,66811223;613
200;0,886082619;6,553071497;612
200;0,840491434;6,436985481;611
200;0,84118221;6,267843946;610
200;0,824603597;6,122251117;609
200;0,901279681;6,032864586;608
200;0,831050836;5,916479919;607
200;0,769802072;5,822090968;606
200;0,846247897;5,780787402;605
200;0,745624929;5,778009939;604
200;0,811018345;5,749772397;603
200;0,747927514;5,757656808;602
200;0,846938673;5,774052801;601
200;0,918088552;5,833798125;600
200;2,925712495;22,99577307;500
200;2,895778888;23,22349519;499
200;2,865615024;23,41512522;498
200;2,987652034;23,48354638;497
200;3,163339276;23,63690416;496
200;3,101399737;23,60732268;495
200;3,042453559;23,62267339;494
200;3,018736932;23,60285784;493
200;2,976139108;23,50630366;492
200;3,067551736;23,41440845;491
200;3,058571655;23,30265289;490
200;2,899232766;23,18177351;489
200;2,935153094;23,15553694;488
200;2,98972436;23,07033153;487
200;2,908443106;23,07582673;486
200;3,056269069;23,15752297;485
200;3,082748798;23,25100103;484
200;2,971994455;23,41864931;483
200;3,072387165;23,69672415;482
200;3,073998975;24,05367296;481
200;3,098406377;24,41802835;480
200;3,198568828;24,90354684;479
200;3,260968884;25,39921949;478
200;3,340177811;25,95432388;477
200;3,213996148;26,61410578;476
200;3,367348316;27,19641737;475
200;3,336723934;27,78199919;474
200;3,420307773;28,3400453;473
200;3,616027506;28,88447289;472
200;3,642737493;29,38802995;471
200;3,641125683;29,90050178;470
200;3,675894718;30,37667246;469
200;3,763162693;30,79245571;468
200;3,81612215;31,16589012;467
200;3,639744132;31,38859488;466
200;3,695006174;31,57888097;465
200;3,843753171;31,81120233;464
200;3,824871974;31,98029907;463
200;3,763392952;31,99594843;462
200;3,690401004;32,03551982;461
200;3,78066234;32,06042739;460
200;3,689710229;32,13241744;459
200;3,779280789;32,10232826;458
200;3,81312879;32,10867461;457
200;3,829937661;32,17225761;456
200;3,72493978;32,25783633;455
200;3,725630556;32,38347921;454
200;3,779511047;32,55426333;453
200;3,725400297;32,8419249;452
200;3,792175265;33,17765449;451
200;3,873686777;33,61559772;450
200;3,933323731;34,16846222;449
200;3,979145175;34,72389513;448
200;3,891646941;35,29242393;447
200;3,992730427;35,91550151;446
200;3,985822672;36,63060868;445
200;4,001249992;37,24928114;444
200;4,092892878;37,84264285;443
200;4,185456799;38,36846442;442
200;4,236113671;38,81868224;441
200;4,157365261;39,17294319;440
200;4,152990349;39,42766345;439
200;4,249929182;39,57588441;438
200;4,222298161;39,78520957;437
200;4,351473184;39,77005298;436
200;4,185456799;39,64318563;435
200;4,148615438;39,47877773;434
200;4,20387748;39,29706295;433
200;4,088287708;39,06607059;432
200;4,224370487;38,76840419;431
200;4,002401284;38,44980228;430
200;4,055591;38,144132;429
200;4,072860388;37,86023345;428
200;4,03555851;37,56191001;427
200;4,113155627;37,42485863;426
200;4,161279656;37,20841062;425
200;4,133648634;37,03023487;424
200;4,111543818;36,97514851;423
200;4,069176252;36,8705158;422
200;3,983059569;36,82995886;421
200;4,040624197;36,79165675;420
200;4,097958566;36,72244416;419
200;4,063189531;36,72250389;418
200;3,993651461;36,60074349;417
200;4,069867027;36,46481205;416
200;4,143319492;36,3372578;415
200;4,158746812;36,13635463;414
200;4,088978484;35,89014596;413
200;4,026117911;35,58075746;412
200;3,989967325;35,26981598;411
200;3,949672086;34,88428617;410
200;3,894179785;34,4803146;409
200;3,820266803;34,03008184;408
200;3,871384192;33,63965414;407
200;3,867700056;33,1774753;406
200;3,860331784;32,70182726;405
200;3,79447785;32,3390846;404
200;3,568133736;31,97447536;403
200;3,579186144;31,61121005;402
200;3,654480677;31,22541145;401
200;3,517246605;30,93891463;400
200;0,447355807;2,403540892;700
200;0,624424601;2,741779165;699
200;0,702712494;3,190921843;698
200;0,753599624;3,682323772;697
200;0,92721454;4,196975756;696
200;1,211583799;4,827937744;695
200;1,476611344;5,499770253;694
200;1,71032373;6,314522655;693
200;1,793907569;7,276420876;692
200;2,07643476;8,255312394;691
200;2,38843504;9,297951172;690
200;2,372777462;10,50773052;689
200;2,526590146;11,72775362;688
200;2,756848655;12,86758868;687
200;3,014507927;14,01671181;686
200;3,314304506;15,11752799;685
200;3,379697923;16,08526486;684
200;3,481472184;16,91887713;683
200;3,683869414;17,68969783;682
200;3,714954312;18,24153199;681
200;3,765380926;18,66812644;680
200;3,762617824;19,01117301;679
200;3,777814885;19,2299057;678
200;3,910904304;19,44554735;677
200;3,84666218;19,49092751;676
200;3,783571348;19,41729487;675
200;3,819721934;19,35015791;674
200;3,787716001;19,21216578;673
200;3,870148548;19,0066335;672
200;3,860938207;18,71507453;671
200;3,717256898;18,37204289;670
200;3,580713602;17,93341276;669
200;3,559990336;17,3588512;668
200;3,489070715;16,73693836;667
200;3,229799633;16,09401536;666
200;3,037764037;15,41408939;665
200;2,936680551;14,68749904;664
200;2,844807406;13,84355341;663
200;2,655534911;13,01170318;662
200;2,347218767;12,17095313;661
200;2,264555962;11,31533021;660
200;2,138144041;10,56520609;659
200;1,853084006;9,888371157;658
200;1,814400577;9,227663434;657
200;1,757526725;8,623848908;656
200;1,614996708;8,164746188;655
200;1,397172158;7,79831517;654
200;1,296779448;7,46198827;653
200;1,355265109;7,182240982;652
200;1,398093192;7,020177498;651
200;1,388422334;6,963941334;650
200;1,363554415;6,9274162;649
200;1,329706415;6,920487475;648
200;1,281352128;6,983607566;647
200;1,300693842;7,058270555;646
200;1,35204149;7,155840149;645
200;1,415823097;7,251214651;644
200;1,480065221;7,334015906;643
200;1,550984842;7,473650628;642
200;1,416744131;7,566650848;641
200;1,50493314;7,613419744;640
200;1,515294773;7,640746398;639
200;1,52496563;7,686917991;638
200;1,571017332;7,712497531;637
200;1,564570094;7,746230269;636
200;1,626049116;7,719291863;635
200;1,588516979;7,723099675;634
200;1,536939073;7,726847757;633
200;1,543156053;7,660711281;632
200;1,558813631;7,557392637;631
200;1,624897824;7,528154611;630
200;1,535097005;7,437289753;629
200;1,446907996;7,390072878;628
200;1,448519805;7,334224963;627
200;1,436776621;7,218810914;626
200;1,48789401;7,111833783;625
200;1,360330796;7,086299041;624
200;1,396941899;7,024313827;623
200;1,385428974;6,942139742;622
200;1,413290253;6,840896728;621
200;1,407764049;6,784884554;620
200;1,331087966;6,684836148;619
200;1,296779448;6,597316193;618
200;1,245892317;6,533046292;617
200;1,247734385;6,433759449;616
200;1,137210301;6,323736068;615
200;1,138131335;6,206694366;614
200;1,147111417;6,079603026;613
200;1,106355661;6,002296967;612
200;1,125236858;5,850253256;611
200;1,119250137;5,725327143;610
200;1,00918657;5,616946348;609
200;1,017245617;5,540416784;608
200;0,97510831;5,478700357;607
200;1,040962244;5,355775212;606
200;1,029909836;5,306632032;605
200;1,008265536;5,292460997;604
200;1,023462597;5,280320795;603
200;0,989384338;5,332211573;602
200;1,098066354;5,339827197;601
200;1,196156479;5,390060456;600
200;3,761236273;20,37743105;500
200;3,811893145;20,59720902;499
200;3,814886505;20,72047762;498
200;4,061723627;20,85694663;497
200;4,18491193;20,90671698;496
200;4,006461585;20,98302255;495
200;4,015211409;20,9766314;494
200;3,994718401;20,90246119;493
200;3,917581801;20,86757864;492
200;4,045145015;20,76784382;491
200;4,033632089;20,74796853;490
200;3,953502128;20,6572978;489
200;3,967547897;20,62604387;488
200;3,970541258;20,57125617;487
200;3,934390672;20,57215212;486
200;4,03501364;20,5712711;485
200;4,07208526;20,63694467;484
200;4,021428388;20,8148367;483
200;4,091196717;21,01733766;482
200;4,133564282;21,2108044;481
200;4,19112891;21,53272134;480
200;4,265041891;21,91371164;479
200;4,326290655;22,30537875;478
200;4,40572984;22,75156478;477
200;4,402506221;23,22152349;476
200;4,478721788;23,71644952;475
200;4,560924076;24,16969866;474
200;4,596614145;24,6648188;473
200;4,638060676;25,0594575;472
200;4,867858669;25,48200522;471
200;4,928646915;25,83946175;470
200;4,94338346;26,22490196;469
200;4,990816712;26,57566868;468
200;4,967100086;26,86819828;467
200;4,982066889;27,1100317;466
200;5,124827165;27,19767111;465
200;5,229364528;27,40574193;464
200;5,143017587;27,53145947;463
200;4,997954726;27,58118502;462
200;4,997724468;27,67249786;461
200;5,13634009;27,70911259;460
200;5,078314946;27,75371626;459
200;5,202654541;27,70993388;458
200;5,138872934;27,68962555;457
200;5,114235273;27,73136216;456
200;5,098347436;27,8192405;455
200;5,143708363;27,92084189;454
200;5,216239793;28,04322947;453
200;5,108018294;28,2306485;452
200;5,196437561;28,48129216;451
200;5,329987497;28,81408003;450
200;5,37580894;29,19071001;449
200;5,347026626;29,54304466;448
200;5,336434735;29,97505965;447
200;5,444425976;30,42890609;446
200;5,526628264;30,86335509;445
200;5,564160401;31,35826618;444
200;5,661329492;31,73013267;443
200;5,653500702;32,08515518;442
200;5,717512568;32,40189051;441
200;5,687348703;32,66123987;440
200;5,696098526;32,85930585;439
200;5,793037359;32,98829363;438
200;5,671691124;32,97215149;437
200;5,676066036;32,99619297;436
200;5,687348703;32,94207724;435
200;5,65695458;32,75080559;434
200;5,713598173;32,5705542;433
200;5,630244593;32,41011837;432
200;5,633237953;32,25241521;431
200;5,5858047;32,02381207;430
200;5,574752292;31,77845455;429
200;5,453866575;31,56281291;428
200;5,473438548;31,36828596;427
200;5,558634196;31,21754138;426
200;5,75734729;31,10029062;425
200;5,65234941;30,94876955;424
200;5,568765571;30,86953719;423
200;5,548733081;30,81445084;422
200;5,475741133;30,79845802;421
200;5,592251939;30,76966797;420
200;5,574061517;30,73651761;419
200;5,401597893;30,62985406;418
200;5,463767691;30,57405094;417
200;5,617580375;30,54494731;416
200;5,549884373;30,39366516;415
200;5,493010521;30,23697741;414
200;5,529851883;30,02505398;413
200;5,447879853;29,7546545;412
200;5,519259991;29,47935713;411
200;5,394690138;29,15319933;410
200;5,274264937;28,81905259;409
200;5,318244313;28,52812078;408
200;5,282554244;28,12086404;407
200;5,221075222;27,70885874;406
200;5,230746079;27,34421963;405
200;5,181010241;27,0409535;404
200;4,981376114;26,69380047;403
200;5,071867708;26,47279802;402
200;5,123445614;26,27075997;401
200;4,96341595;25,97067448;400
200;0,506516285;2,276154153;700
200;0,595856587;2,619827891;699
200;0,699933433;3,032385704;698
200;0,813681137;3,463788455;697
200;1,034268789;3,992969857;696
200;1,382880172;4,665011422;695
200;1,741853188;5,343533734;694
200;1,963361874;6,1218058;693
200;2,100595945;7,066247815;692
200;2,439536471;8,087682304;691
200;2,700189103;9,149136155;690
200;2,728741159;10,22072924;689
200;2,944263123;11,34301849;688
200;3,229323158;12,42797625;687
200;3,508396471;13,54824961;686
200;3,832830711;14,61383979;685
200;3,973288401;15,51488767;684
200;4,023945273;16,3182913;683
200;4,154501848;16,99608192;682
200;4,240848789;17,53328212;681
200;4,313149961;17,96238525;680
200;4,421831977;18,24114699;679
200;4,499198837;18,43437481;678
200;4,564822512;18,55552297;677
200;4,481929448;18,57581637;676
200;4,360122697;18,5610331;675
