Irradiance;Abs_Cuvette_mean;Abs_Cuvette_sd;Abs_Filter_mean;Abs_Filter_sd;Wavel.
200;0,403092218;0,131277276;2,415194577;0,145218392;700
200;0,528736611;0,141717528;2,779773953;0,181943571;699
200;0,618230419;0,143927217;3,219439408;0,202821735;698
200;0,715246004;0,12221219;3,717287242;0,27266697;697
200;0,887632875;0,169920256;4,286990737;0,347875349;696
200;1,200477436;0,188201861;4,955652557;0,371352287;695
200;1,500811285;0,229899187;5,679017461;0,45256316;694
200;1,684250564;0,293019195;6,530912211;0,550198919;693
200;1,778503047;0,330064875;7,516712544;0,607372604;692
200;2,084056089;0,35173165;8,571108254;0,697202689;691
200;2,358907996;0,356961711;9,715871069;0,855976226;690
200;2,353305039;0,385541315;10,9182986;0,970344718;689
200;2,490846122;0,472304521;12,16894846;1,114095705;688
200;2,759174038;0,468990752;13,40062895;1,322364647;687
200;3,012918915;0,496273969;14,62476848;1,477569038;686
200;3,301739839;0,537483363;15,77534007;1,595571548;685
200;3,406430708;0,553975272;16,79366858;1,744422426;684
200;3,486483916;0,534973098;17,68410935;1,869814758;683
200;3,649506941;0,523023431;18,45545269;1,957974408;682
200;3,686732067;0,568753247;19,05467295;2,052543171;681
200;3,759417003;0,556738878;19,50199883;2,085568113;680
200;3,830413376;0,560603824;19,84609068;2,147772706;679
200;3,84430564;0,62430904;20,07245393;2,184800078;678
200;3,927889479;0,628612572;20,22349716;2,16447314;677
200;3,851673912;0,627764675;20,25020162;2,156705931;676
200;3,733551297;0,6530198;20,19520984;2,132354529;675
200;3,783133629;0,563708032;20,11208007;2,117637181;674
200;3,801707815;0,562832093;19,9387574;2,07281754;673
200;3,824119644;0,581109591;19,68799927;2,019839928;672
200;3,727564575;0,575336349;19,3551865;1,969738326;671
200;3,604146015;0,601812271;18,94003042;1,895074483;670
200;3,517185051;0,512244789;18,46425794;1,813272205;669
200;3,467832977;0,531996114;17,91391207;1,748995332;668
200;3,395915569;0,543395227;17,29133723;1,670238193;667
200;3,221456372;0,485503681;16,59479127;1,569543208;666
200;3,081075434;0,554531053;15,857549;1,466029733;665
200;2,946604465;0,503713658;15,06834627;1,343829756;664
200;2,819732026;0,429815771;14,20384343;1,245948308;663
200;2,590317798;0,369027049;13,33220281;1,187909453;662
200;2,366813538;0,359668793;12,46918825;1,081124521;661
200;2,247923395;0,373361719;11,63356506;0,925901735;660
200;2,089582293;0,38757594;10,85243091;0,848563314;659
200;1,844126722;0,373164395;10,10301858;0,792576036;658
200;1,805673551;0,33091764;9,422520184;0,726574568;657
200;1,79807502;0,284651364;8,80250379;0,669685425;656
200;1,640808459;0,261788848;8,297582882;0,588035856;655
200;1,438027465;0,277603033;7,921186844;0,552830154;654
200;1,302558708;0,276190279;7,586044596;0,516167082;653
200;1,391668751;0,268904201;7,303440205;0,497455672;652
200;1,396580933;0,250014016;7,14047081;0,492283666;651
200;1,35536466;0,254275352;7,058311656;0,457552228;650
200;1,319674591;0,24491759;7,018999104;0,439123692;649
200;1,309773475;0,243025916;7,040014247;0,444844479;648
200;1,29043176;0,241388867;7,092333092;0,453900701;647
200;1,242614743;0,201919362;7,152919619;0,45893236;646
200;1,294499661;0,201469288;7,249966572;0,458697437;645
200;1,416613423;0,265438788;7,344609377;0,457916485;644
200;1,477094658;0,258658073;7,451661171;0,452509952;643
200;1,53043788;0,222401782;7,575198553;0,46280755;642
200;1,408093858;0,20651252;7,658547336;0,482877344;641
200;1,459671765;0,230798151;7,705804031;0,491092677;640
200;1,507795793;0,231680945;7,753687894;0,502197334;639
200;1,515471077;0,252907389;7,801531938;0,489167895;638
200;1,567739758;0,279843458;7,842930076;0,496200948;637
200;1,583320584;0,291449322;7,849415801;0,507512833;636
200;1,5932217;0,274054486;7,846379507;0,505746617;635
200;1,506567748;0,272760308;7,837992364;0,492799516;634
200;1,502192836;0,232965799;7,820416696;0,484457839;633
200;1,539417962;0,244390694;7,783478427;0,503412895;632
200;1,519155213;0,2504198;7,715699365;0,518356077;631
200;1,531205408;0,207049921;7,683778449;0,512147317;630
200;1,458597225;0,269896166;7,605735715;0,520596824;629
200;1,456064381;0,244728013;7,541097477;0,499300805;628
200;1,431426721;0,209662931;7,47821133;0,508979838;627
200;1,389442919;0,242789118;7,397291582;0,510829759;626
200;1,410089432;0,248719673;7,301498967;0,495608299;625
200;1,374706375;0,266764732;7,253525508;0,505411326;624
200;1,384223726;0,249102914;7,185582188;0,501898499;623
200;1,342009666;0,273788811;7,106300048;0,491833574;622
200;1,382765422;0,210004272;6,988367368;0,468863886;621
200;1,365419281;0,19613499;6,926536458;0,477560336;620
200;1,259423614;0,226223972;6,844780485;0,45526235;619
200;1,236781528;0,229041895;6,742556898;0,439818457;618
200;1,223426534;0,227014089;6,668461348;0,445926118;617
200;1,209380765;0,236695125;6,557223449;0,456363535;616
200;1,134777008;0,212719145;6,456154649;0,422769949;615
200;1,173920955;0,241873332;6,341900366;0,398583469;614
200;1,163175557;0,227295755;6,223066752;0,393445594;613
200;1,060250004;0,156300697;6,11621406;0,392499675;612
200;1,054570294;0,188932009;5,992009689;0,393725998;611
200;1,072914222;0,21238933;5,852623843;0,368450858;610
200;0,99846397;0,168754758;5,739121167;0,338978484;609
200;1,026171744;0,129585901;5,651999414;0,339132755;608
200;0,94757684;0,105490091;5,565231065;0,316969255;607
200;0,966765049;0,172294915;5,463107029;0,319153864;606
200;1,020568787;0,169843128;5,425566478;0,313176155;605
200;0,95947353;0,194107655;5,413067894;0,32204688;604
200;1,005064714;0,185532836;5,397129834;0,311141913;603
200;0,964999734;0,205965379;5,41630329;0,308039994;602
200;1,060326757;0,197244952;5,437368208;0,300050343;601
200;1,132704681;0,190967103;5,490284357;0,305970994;600
200;3,566460372;0,568940461;20,96576673;1,809071437;500
200;3,55640575;0,576992048;21,17331491;1,831397352;499
200;3,535682484;0,58297492;21,32898724;1,858176686;498
200;3,700163813;0,617076096;21,41782624;1,850179809;497
200;3,830029612;0,577772318;21,49574951;1,915800824;496
200;3,760721801;0,577123872;21,52041816;1,876824761;495
200;3,727487823;0,595782082;21,52284222;1,886978192;494
200;3,722422135;0,614578936;21,4635847;1,921185235;493
200;3,647741626;0,585353159;21,39929489;1,897861254;492
200;3,766938781;0,609891064;21,3094554;1,893172867;491
200;3,724801473;0,577482775;21,24139262;1,864185013;490
200;3,61565894;0,620777561;21,1422551;1,845464596;489
200;3,633312092;0,60480561;21,11382344;1,846785531;488
200;3,665318025;0,58598732;21,03248558;1,850846895;487
200;3,622336437;0,619877484;21,04470542;1,840909375;486
200;3,725031732;0,579679184;21,07197732;1,885725777;485
200;3,749822898;0,577813127;21,15190156;1,894849191;484
200;3,667774116;0,602590434;21,30683224;1,913851188;483
200;3,740305546;0,57868205;21,53933279;1,949530356;482
200;3,781445067;0,612668387;21,8083734;2,014134408;481
200;3,844689404;0,646851424;22,1309872;2,054317556;480
200;3,888822285;0,598585117;22,5402698;2,12059496;479
200;3,958437107;0,604327721;22,96977611;2,174742106;478
200;4,040716148;0,606863141;23,45212888;2,235804523;477
200;4,007789181;0,687448387;23,97198239;2,358219578;476
